, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
684,구로3,구로,구로구 경인로20가길 38,서울오류남초,7 ,58 ,43 ,50 ,오류동 금강수목원,준신축,2003 ,중단지,620 ,계단식,3 ,2 ,24 ,76900 ,70000 ,40000 ,-9%,,,0.57 ,30000 
711,구로3,구로,구로구 중앙로3길 50,서울덕의초,7 ,54 ,34 ,47 ,고척 한일유앤아이,준신축,2005 ,소단지,390 ,계단식,3 ,2 ,33 ,78800 ,70000 ,43000 ,-11%,,,0.61 ,27000 
734,금천4,금천,금천구 독산로10길 100,서울영남초,5 ,46 ,30 ,42 ,독산 주공14,구축,1990 ,중단지,840 ,계단식,3 ,1 ,33 ,76000 ,70000 ,38000 ,-8%,,,0.54 ,32000 
744,노원2,노원,노원구 중계로 170,서울중계초,5 ,55 ,65 ,48 ,중계 한화꿈에그린,준신축,2005 ,소단지,448 ,계단식,3 ,1 ,24 ,70500 ,70000 ,43000 ,-1%,,,0.61 ,27000 
777,노원3,노원, 노원구 동일로 1530,서울상곡초,4 ,55 ,67 ,47 ,상계 주공12,구축,1988 ,대단지,1739 ,복도식,3 ,1 ,28 ,84000 ,70000 ,35000 ,-17%,,,0.50 ,35000 
790,도봉1,도봉, 도봉구 마들로 740,서울창원초,3 ,55 ,68 ,50 ,창동주공18,구축,1988 ,중단지,910 ,복도식,2 ,1 ,24 ,94000 ,70000 ,30000 ,-26%,,,0.43 ,40000 
840,동대문4,동대문, 동대문구 한천로 258,서울휘봉초,5 ,50 ,43 ,40 ,휘경동일하이빌,준신축,2005 ,소단지,216 ,계단식,3 ,2 ,25 ,76000 ,70000 ,47000 ,-8%,,,0.67 ,23000 
2314,중랑2,중랑, 중랑구 상봉동 501,상봉초등학교,6 ,45 ,55 ,40 ,상봉 태영데시앙,준신축,2003 ,중단지,582 ,계단식,3 ,2 ,24 ,79500 ,70000 ,40000 ,-12%,,,0.57 ,30000 
436,강서4,강서,강서구 금낭화로 222,서울삼정초,5 ,62 ,36 ,49 ,방화 동성,구축,1993 ,중단지,686 ,계단식,3 ,1 ,23 ,76500 ,71000 ,43000 ,-7%,,,0.61 ,28000 
800,도봉1,도봉, 도봉구 노해로 391,서울자운초,3 ,47 ,59 ,42 ,창동 동아청솔,구축,1997 ,대단지,1981 ,복도식,3 ,1 ,24 ,88700 ,71000 ,38000 ,-20%,,,0.54 ,33000 
2309,중랑3,중랑, 중랑구 신내로 124,신내초등학교,6 ,55 ,65 ,50 ,신내 데시앙,준신축,2010 ,대단지,1326 ,계단식,3 ,2 ,24 ,78800 ,71000 ,46000 ,-10%,,,0.65 ,25000 
701,구로2,구로,구로구 구로중앙로28길 61,서울구로초,6 ,42 ,22 ,32 ,구로 중앙하이츠,준신축,2001 ,대단지,1269 ,계단식,3 ,2 ,33 ,92000 ,71500 ,55000 ,-22%,,,0.77 ,16500 
780,노원3,노원, 노원구 섬밭로 79,서울공릉초,5 ,42 ,52 ,40 ,공릉 풍림아이원,준신축,2001 ,대단지,1601 ,계단식,3 ,1 ,24 ,81000 ,72000 ,40000 ,-11%,,,0.56 ,32000 
687,구로3,구로,구로구 고척로1길 35,서울오류초,6 ,55 ,38 ,45 ,오류 푸르지오,준신축,2004 ,소단지,378 ,계단식,3 ,2 ,33 ,85000 ,73000 ,47000 ,-14%,,,0.64 ,26000 
707,구로4,구로,구로구 구로중앙로 10,서울미래초,6 ,40 ,20 ,30 ,구로 두산위브,준신축,2006 ,중단지,650 ,계단식,3 ,2 ,33 ,87000 ,73000 ,50000 ,-16%,,,0.68 ,23000 
716,구로3,구로,구로구 개봉로 1,서울개봉초,5 ,50 ,30 ,43 ,개봉 현대1,준신축,2001 ,대단지,2412 ,계단식,3 ,1 ,24 ,85000 ,73000 ,44500 ,-14%,,,0.61 ,28500 
